Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
19/03/2021,17:45,Drogheda,Waterford,,,1,0,2021,1.81,3.46,4.36,,
19/03/2021,19:45,Shamrock Rovers,St. Patricks,,,1,1,2021,1.71,3.31,5.37,,
20/03/2021,18:00,Finn Harps,Bohemians,,,1,0,2021,4.31,3.26,1.88,,
20/03/2021,18:00,Longford,Derry City,,,2,0,2021,4.28,3.46,1.82,,
20/03/2021,18:00,Sligo Rovers,Dundalk,,,1,1,2021,3.78,3.32,1.98,,
26/03/2021,17:45,Dundalk,Finn Harps,,,1,2,2021,1.47,4.03,6.84,,
26/03/2021,19:45,Waterford,Sligo Rovers,,,1,2,2021,4.58,3.55,1.75,,
27/03/2021,16:00,Bohemians,Longford,,,2,2,2021,1.5,3.9,6.64,,
27/03/2021,16:00,St. Patricks,Drogheda,,,2,1,2021,1.51,3.85,6.62,,
02/04/2021,17:45,Longford,Sligo Rovers,,,0,1,2021,4.33,3.52,1.79,,
02/04/2021,19:45,Shamrock Rovers,Dundalk,,,2,1,2021,1.88,3.34,4.13,,
03/04/2021,18:00,Bohemians,St. Patricks,,,0,1,2021,2.75,2.96,2.69,,
03/04/2021,18:00,Derry City,Waterford,,,1,2,2021,1.75,3.43,4.8,,
03/04/2021,18:00,Drogheda,Finn Harps,,,1,1,2021,2.51,3.06,2.89,,
09/04/2021,17:45,St. Patricks,Derry City,,,2,0,2021,1.81,3.27,4.69,,
09/04/2021,19:45,Dundalk,Bohemians,,,0,1,2021,1.85,3.38,4.25,,
10/04/2021,18:00,Finn Harps,Waterford,,,2,1,2021,2.08,3.04,3.81,,
10/04/2021,18:00,Longford,Drogheda,,,0,4,2021,3.09,3.09,2.36,,
10/04/2021,18:00,Sligo Rovers,Shamrock Rovers,,,1,1,2021,4.31,3.12,1.93,,
