Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2022/2023,31/03/2023,18:30,Hartberg,A. Lustenau,0,1,A,2.15,3.5,3.59,2.17,3.62,3.62,2.08,3.43,3.4,,,,,,
Austria,Bundesliga,2022/2023,12/03/2023,16:00,Wolfsberger AC,A. Lustenau,0,1,A,1.69,4.11,5.07,1.73,4.11,5.28,1.69,3.88,4.71,,,,,,
Austria,Bundesliga,2022/2023,19/03/2023,16:00,A. Lustenau,A. Klagenfurt,4,2,H,3.37,3.66,2.18,3.37,3.66,2.25,3.13,3.49,2.18,,,,,,
Austria,Bundesliga,2022/2023,19/03/2023,16:00,Austria Vienna,SK Rapid,2,0,H,3.32,3.44,2.29,3.33,3.48,2.55,3.11,3.3,2.27,,,,,,
Austria,Bundesliga,2022/2023,19/03/2023,16:00,Hartberg,LASK,2,2,D,4.13,3.73,1.93,4.33,3.77,1.98,3.93,3.56,1.89,,,,,,
Austria,Bundesliga,2022/2023,19/03/2023,16:00,Ried,Wolfsberger AC,0,0,D,2.75,3.65,2.56,2.8,3.65,2.64,2.66,3.42,2.52,,,,,,
Austria,Bundesliga,2022/2023,19/03/2023,16:00,Salzburg,Altach,1,1,D,1.16,8.35,18.09,1.18,8.5,19.0,1.16,7.46,15.79,,,,,,
Austria,Bundesliga,2022/2023,19/03/2023,16:00,Tirol,Sturm Graz,0,2,A,6.63,4.72,1.5,7.0,4.73,1.56,6.34,4.45,1.47,,,,,,
Austria,Bundesliga,2022/2023,01/04/2023,16:00,Altach,Tirol,1,0,H,3.13,3.46,2.39,3.13,3.46,2.57,2.84,3.34,2.4,,,,,,
Austria,Bundesliga,2022/2023,14/04/2023,18:30,Ried,Tirol,1,1,D,2.71,3.58,2.63,2.84,3.6,2.67,2.64,3.42,2.54,,,,,,
Austria,Bundesliga,2022/2023,02/04/2023,13:30,A. Klagenfurt,Salzburg,0,3,A,12.59,6.53,1.24,13.6,6.8,1.43,12.13,6.22,1.22,,,,,,
Austria,Bundesliga,2022/2023,02/04/2023,13:30,Austria Vienna,LASK,2,2,D,2.66,3.45,2.76,2.66,3.55,2.76,2.56,3.38,2.64,,,,,,
Austria,Bundesliga,2022/2023,02/04/2023,16:00,Sturm Graz,SK Rapid,3,1,H,1.81,3.83,4.66,1.89,3.83,4.66,1.78,3.65,4.34,,,,,,
Austria,Bundesliga,2022/2023,07/04/2023,18:30,Tirol,Wolfsberger AC,4,0,H,2.81,3.73,2.48,2.82,3.73,2.58,2.69,3.53,2.43,,,,,,
Austria,Bundesliga,2022/2023,08/04/2023,16:00,A. Lustenau,Altach,1,0,H,2.57,3.43,2.88,2.57,3.49,2.97,2.44,3.33,2.79,,,,,,
Austria,Bundesliga,2022/2023,08/04/2023,16:00,Ried,Hartberg,1,3,A,2.4,3.28,3.26,2.44,3.37,3.26,2.37,3.2,3.03,,,,,,
Austria,Bundesliga,2022/2023,09/04/2023,13:30,SK Rapid,A. Klagenfurt,3,1,H,1.49,4.72,6.76,1.49,4.75,7.1,1.45,4.5,6.59,,,,,,
Austria,Bundesliga,2022/2023,09/04/2023,13:30,Salzburg,Austria Vienna,3,3,D,1.35,5.47,9.12,1.4,5.66,9.86,1.34,5.12,8.34,,,,,,
Austria,Bundesliga,2022/2023,09/04/2023,16:00,LASK,Sturm Graz,2,1,H,2.86,3.61,2.5,3.35,3.64,2.56,2.88,3.45,2.34,,,,,,
