Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2021/2022,06/03/2022,16:00,Wolfsberger AC,LASK,1,0,H,3.24,3.98,2.13,3.25,3.98,2.4,3.05,3.68,2.16,,,,,,
Austria,Bundesliga,2021/2022,06/03/2022,16:00,Ried,Sturm Graz,2,2,D,3.22,3.41,2.36,3.3,3.61,2.45,3.06,3.37,2.28,,,,,,
Austria,Bundesliga,2021/2022,06/03/2022,16:00,SK Rapid,A. Klagenfurt,3,0,H,1.68,4.21,5.09,1.68,4.33,5.4,1.64,4.06,4.83,,,,,,
Austria,Bundesliga,2021/2022,27/02/2022,16:00,Tirol,SK Rapid,0,2,A,3.43,3.87,2.09,3.6,4.0,2.11,3.31,3.76,2.02,,,,,,
Austria,Bundesliga,2021/2022,06/03/2022,16:00,Admira,Austria Vienna,1,2,A,3.11,3.16,2.57,3.3,3.39,2.57,2.99,3.13,2.44,,,,,,
Austria,Bundesliga,2021/2022,05/03/2022,16:00,Salzburg,Altach,4,0,H,1.16,8.29,20.21,1.2,8.59,21.0,1.16,7.72,15.3,,,,,,
Austria,Bundesliga,2021/2022,02/03/2022,19:30,LASK,Salzburg,0,0,D,4.0,3.94,1.9,4.2,4.0,2.0,3.81,3.78,1.86,,,,,,
Austria,Bundesliga,2021/2022,20/03/2022,16:00,SK Rapid,Austria Vienna,1,1,D,2.36,3.35,3.28,2.4,3.4,3.29,2.3,3.25,3.12,,,,,,
Austria,Bundesliga,2021/2022,06/03/2022,16:00,Hartberg,Tirol,0,1,A,2.36,3.77,2.96,2.55,3.77,3.0,2.34,3.59,2.82,,,,,,
Austria,Bundesliga,2021/2022,12/03/2022,16:00,Admira,Ried,2,0,H,2.26,3.34,3.5,2.38,3.39,3.5,2.29,3.22,3.16,,,,,,
Austria,Bundesliga,2021/2022,13/03/2022,16:00,Salzburg,Sturm Graz,1,0,H,1.47,4.75,7.07,1.48,5.0,7.5,1.45,4.55,6.52,,,,,,
Austria,Bundesliga,2021/2022,13/03/2022,13:30,A. Klagenfurt,SK Rapid,1,3,A,4.21,4.0,1.85,4.22,4.0,1.88,4.0,3.79,1.83,,,,,,
Austria,Bundesliga,2021/2022,13/03/2022,13:30,Austria Vienna,Wolfsberger AC,2,1,H,2.39,3.39,3.17,2.45,3.55,3.17,2.32,3.36,3.0,,,,,,
Austria,Bundesliga,2021/2022,13/03/2022,13:30,LASK,Tirol,6,0,H,1.52,4.84,5.93,1.54,4.9,6.5,1.49,4.61,5.76,,,,,,
Austria,Bundesliga,2021/2022,19/03/2022,16:00,Ried,Altach,1,2,A,1.73,3.92,5.08,1.74,4.0,5.25,1.69,3.72,4.94,,,,,,
Austria,Bundesliga,2021/2022,19/03/2022,16:00,Tirol,Admira,0,0,D,2.88,3.43,2.57,2.9,3.51,2.6,2.75,3.3,2.51,,,,,,
Austria,Bundesliga,2021/2022,20/03/2022,13:30,Hartberg,LASK,0,0,D,5.42,4.42,1.61,5.42,4.42,1.66,5.05,4.14,1.6,,,,,,
Austria,Bundesliga,2021/2022,20/03/2022,13:30,Sturm Graz,A. Klagenfurt,3,1,H,1.39,5.31,7.96,1.39,5.5,9.5,1.33,5.21,8.41,,,,,,
Austria,Bundesliga,2021/2022,20/03/2022,13:30,Wolfsberger AC,Salzburg,1,4,A,5.46,4.15,1.63,5.75,4.44,1.65,5.27,4.1,1.59,,,,,,
Austria,Bundesliga,2021/2022,27/02/2022,16:00,Sturm Graz,Hartberg,3,0,H,1.6,4.31,5.76,1.6,4.43,6.0,1.56,4.23,5.41,,,,,,
Austria,Bundesliga,2021/2022,12/03/2022,16:00,Altach,Hartberg,0,0,D,3.42,3.37,2.28,3.58,3.42,2.35,3.22,3.26,2.25,,,,,,
Austria,Bundesliga,2021/2022,27/02/2022,16:00,Austria Vienna,Wolfsberger AC,1,0,H,2.24,3.56,3.33,2.25,3.58,3.4,2.19,3.41,3.19,,,,,,
Austria,Bundesliga,2021/2022,12/02/2022,16:00,Tirol,Sturm Graz,2,2,D,3.9,3.82,1.95,3.95,3.97,2.0,3.64,3.65,1.94,,,,,,
Austria,Bundesliga,2021/2022,26/02/2022,16:00,Altach,Admira,0,2,A,3.57,3.19,2.3,3.57,3.27,2.37,3.32,3.1,2.27,,,,,,
Austria,Bundesliga,2021/2022,02/04/2022,16:00,Altach,Admira,2,2,D,3.54,3.19,2.31,3.58,3.24,2.31,3.38,3.09,2.26,,,,,,
Austria,Bundesliga,2021/2022,05/12/2021,13:30,LASK,Ried,1,0,H,1.38,5.43,8.17,1.45,5.43,8.8,1.38,4.91,7.63,,,,,,
Austria,Bundesliga,2021/2022,05/12/2021,16:00,SK Rapid,Austria Vienna,1,1,D,2.27,3.48,3.33,2.4,3.62,3.35,2.22,3.36,3.18,,,,,,
Austria,Bundesliga,2021/2022,05/12/2021,16:00,Wolfsberger AC,Altach,3,0,H,1.56,4.25,6.52,1.6,4.33,6.67,1.52,4.14,6.1,,,,,,
Austria,Bundesliga,2021/2022,11/12/2021,16:00,Hartberg,Wolfsberger AC,2,2,D,3.68,3.83,2.02,3.74,3.86,2.06,3.49,3.6,1.99,,,,,,
Austria,Bundesliga,2021/2022,11/12/2021,16:00,Ried,Altach,2,1,H,2.01,3.49,4.1,2.06,3.49,4.13,2.01,3.26,3.84,,,,,,
Austria,Bundesliga,2021/2022,11/12/2021,16:00,Salzburg,Tirol,5,0,H,1.24,6.97,11.23,1.24,7.5,15.0,1.2,6.63,11.96,,,,,,
Austria,Bundesliga,2021/2022,12/12/2021,13:30,A. Klagenfurt,Sturm Graz,0,3,A,4.28,4.12,1.81,4.34,4.13,1.85,4.0,3.85,1.8,,,,,,
Austria,Bundesliga,2021/2022,12/12/2021,13:30,Admira,SK Rapid,1,2,A,4.8,3.59,1.84,4.8,3.65,1.9,4.41,3.46,1.82,,,,,,
Austria,Bundesliga,2021/2022,12/12/2021,16:00,Austria Vienna,LASK,2,3,A,3.22,3.61,2.27,3.4,3.62,2.28,3.17,3.39,2.19,,,,,,
Austria,Bundesliga,2021/2022,11/02/2022,18:30,SK Rapid,Salzburg,1,2,A,7.61,4.54,1.47,7.8,4.76,1.5,6.92,4.4,1.45,,,,,,
Austria,Bundesliga,2021/2022,12/02/2022,16:00,Altach,Austria Vienna,0,2,A,4.46,3.42,1.95,5.0,3.8,1.96,4.28,3.29,1.9,,,,,,
Austria,Bundesliga,2021/2022,12/02/2022,16:00,Wolfsberger AC,Ried,2,1,H,1.68,3.99,5.46,1.7,4.23,5.46,1.64,3.92,4.95,,,,,,
Austria,Bundesliga,2021/2022,13/02/2022,13:30,Hartberg,Admira,1,1,D,2.82,3.18,2.79,2.83,3.37,2.96,2.64,3.14,2.73,,,,,,
Austria,Bundesliga,2021/2022,13/02/2022,16:00,LASK,A. Klagenfurt,2,2,D,1.46,5.01,6.8,1.5,5.05,7.5,1.41,4.84,6.68,,,,,,
Austria,Bundesliga,2021/2022,19/02/2022,16:00,Admira,LASK,0,3,A,4.33,3.66,1.9,4.33,3.8,2.02,3.9,3.55,1.91,,,,,,
Austria,Bundesliga,2021/2022,19/02/2022,16:00,Austria Vienna,Hartberg,2,0,H,1.78,3.82,4.86,1.79,4.04,5.28,1.7,3.79,4.8,,,,,,
Austria,Bundesliga,2021/2022,19/02/2022,16:00,Ried,Tirol,3,2,H,2.13,3.87,3.33,2.32,3.91,3.4,2.15,3.61,3.13,,,,,,
Austria,Bundesliga,2021/2022,20/02/2022,13:30,A. Klagenfurt,Altach,2,0,H,2.18,3.41,3.62,2.2,3.86,3.77,2.09,3.39,3.46,,,,,,
Austria,Bundesliga,2021/2022,20/02/2022,13:30,Salzburg,Wolfsberger AC,2,0,H,1.31,6.02,9.6,1.35,6.4,12.0,1.27,5.8,9.65,,,,,,
Austria,Bundesliga,2021/2022,20/02/2022,16:00,Sturm Graz,SK Rapid,2,2,D,1.85,3.88,4.31,2.06,4.0,4.31,1.86,3.72,3.92,,,,,,
Austria,Bundesliga,2021/2022,27/02/2022,16:00,A. Klagenfurt,Ried,1,1,D,2.96,3.38,2.54,2.96,3.47,2.78,2.8,3.3,2.49,,,,,,
Austria,Bundesliga,2021/2022,02/04/2022,16:00,Hartberg,Tirol,0,1,A,2.43,3.51,3.02,2.46,3.55,3.02,2.37,3.37,2.89,,,,,,
Austria,Bundesliga,2021/2022,04/12/2021,16:00,Tirol,A. Klagenfurt,0,1,A,2.1,3.85,3.42,2.13,3.91,3.59,2.03,3.67,3.35,,,,,,
Austria,Bundesliga,2021/2022,03/04/2022,13:30,Austria Vienna,A. Klagenfurt,1,1,D,1.5,4.61,6.81,1.5,4.7,7.0,1.47,4.45,6.42,,,,,,
Austria,Bundesliga,2021/2022,27/04/2022,17:30,Wolfsberger AC,Austria Vienna,1,1,D,2.13,3.48,3.69,2.4,3.49,3.69,2.14,3.35,3.4,,,,,,
Austria,Bundesliga,2021/2022,07/05/2022,16:00,Admira,Tirol,1,1,D,2.42,3.45,3.09,2.7,3.56,3.09,2.44,3.33,2.84,,,,,,
Austria,Bundesliga,2021/2022,07/05/2022,16:00,Altach,Ried,1,1,D,3.15,3.55,2.33,3.15,3.6,2.36,3.01,3.39,2.29,,,,,,
Austria,Bundesliga,2021/2022,29/05/2022,16:00,SK Rapid,Tirol,2,0,H,1.76,4.24,4.44,1.78,4.26,4.44,1.74,4.04,4.14,,,,,,
Austria,Bundesliga,2021/2022,08/05/2022,13:30,A. Klagenfurt,Sturm Graz,1,2,A,4.39,3.85,1.85,4.5,4.03,1.86,4.11,3.79,1.8,,,,,,
Austria,Bundesliga,2021/2022,08/05/2022,13:30,Salzburg,Wolfsberger AC,4,0,H,1.32,6.01,8.67,1.36,6.01,10.0,1.3,5.7,8.53,,,,,,
