Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2025/2026,14/09/2025,13:30,Ried,Hartberg,0,2,A,2.19,3.71,2.86,2.5,4.2,3.0,2.22,3.61,2.78,2.38,3.9,3.0,2.2,3.7,2.7
Austria,Bundesliga,2025/2026,09/08/2025,18:30,Salzburg,Grazer AK,5,0,H,1.35,5.2,9.64,1.44,5.0,8.0,1.4,4.67,6.67,1.45,5.0,8.2,,,
Austria,Bundesliga,2025/2026,13/09/2025,16:00,BW Linz,Grazer AK,3,0,H,2.36,3.21,3.36,2.3,3.4,3.25,2.19,3.21,3.17,2.36,3.3,3.5,2.2,3.25,3.2
Austria,Bundesliga,2025/2026,26/10/2025,13:30,Sturm Graz,Wolfsberger AC,1,3,A,2.11,3.47,3.46,2.4,3.4,3.0,2.32,3.27,2.88,2.48,3.4,3.2,2.4,3.2,2.82
Austria,Bundesliga,2025/2026,01/08/2025,19:30,LASK,Sturm Graz,0,2,A,2.36,3.61,3.0,2.5,3.61,3.0,2.37,3.44,2.71,2.58,3.65,2.9,,,
Austria,Bundesliga,2025/2026,02/08/2025,16:00,Tirol,Hartberg,4,2,H,2.71,3.3,2.78,2.71,3.5,3.25,2.24,3.26,3.07,2.24,3.4,3.7,,,
Austria,Bundesliga,2025/2026,02/08/2025,16:00,Wolfsberger AC,Altach,0,2,A,1.91,3.77,4.07,2.15,3.77,4.07,2.06,3.34,3.37,2.22,3.5,3.6,,,
Austria,Bundesliga,2025/2026,02/08/2025,18:30,Ried,Salzburg,2,2,D,5.1,4.18,1.66,5.25,4.18,1.7,4.95,3.72,1.64,6.0,4.4,1.63,,,
Austria,Bundesliga,2025/2026,03/08/2025,16:00,Grazer AK,Austria Vienna,2,2,D,3.76,3.73,2.0,4.5,3.9,2.0,3.97,3.62,1.8,4.1,3.95,1.95,,,
Austria,Bundesliga,2025/2026,03/08/2025,16:00,SK Rapid,BW Linz,1,0,H,1.93,3.54,3.81,1.93,3.9,4.33,1.81,3.6,4.01,1.9,3.9,4.6,,,
Austria,Bundesliga,2025/2026,09/08/2025,16:00,Altach,Ried,1,0,H,2.26,2.86,4.12,2.38,3.0,4.0,2.16,2.84,3.74,2.32,3.05,4.0,,,
Austria,Bundesliga,2025/2026,09/08/2025,16:00,BW Linz,Hartberg,0,1,A,2.05,3.48,3.87,1.84,4.0,5.5,1.7,3.64,4.63,1.77,3.85,5.5,,,
Austria,Bundesliga,2025/2026,10/08/2025,16:00,Austria Vienna,Wolfsberger AC,0,2,A,2.0,3.65,3.85,2.1,3.8,3.5,1.99,3.53,3.36,2.1,3.8,3.7,,,
Austria,Bundesliga,2025/2026,10/08/2025,16:00,Sturm Graz,SK Rapid,1,2,A,2.16,3.63,3.38,2.25,3.75,3.2,2.13,3.49,3.09,2.22,3.6,3.5,,,
Austria,Bundesliga,2025/2026,10/08/2025,16:00,Tirol,LASK,3,1,H,3.48,3.58,2.14,3.6,3.75,2.12,3.33,3.55,2.01,3.6,3.8,2.14,,,
Austria,Bundesliga,2025/2026,16/08/2025,16:00,Grazer AK,Tirol,1,1,D,2.25,3.79,3.07,2.7,3.6,2.7,2.58,3.39,2.52,2.72,3.85,2.68,2.63,3.5,2.5
Austria,Bundesliga,2025/2026,16/08/2025,16:00,Hartberg,Salzburg,1,2,A,6.75,4.64,1.48,7.5,4.8,1.45,6.58,4.58,1.41,7.8,5.1,1.45,6.5,4.75,1.42
Austria,Bundesliga,2025/2026,13/09/2025,16:00,Wolfsberger AC,Salzburg,3,1,H,3.78,4.05,1.91,4.1,4.0,1.86,3.85,3.71,1.8,4.2,4.0,1.9,3.8,4.0,1.76
Austria,Bundesliga,2025/2026,16/08/2025,18:30,Ried,Sturm Graz,1,3,A,4.37,3.85,1.83,4.2,3.9,1.85,3.97,3.76,1.78,4.4,4.0,1.85,4.2,3.9,1.75
