Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2020/2021,03/04/2021,16:00,St. Polten,Admira,0,1,A,2.71,3.49,2.69,2.74,3.63,2.81,2.59,3.39,2.6,,,,,,
Austria,Bundesliga,2020/2021,03/04/2021,16:00,Ried,Hartberg,3,2,H,2.5,3.55,2.88,2.79,3.55,2.9,2.48,3.35,2.75,,,,,,
Austria,Bundesliga,2020/2021,03/04/2021,16:00,Austria Vienna,Altach,2,0,H,2.04,3.78,3.66,2.06,3.8,3.75,1.98,3.58,3.55,,,,,,
Austria,Bundesliga,2020/2021,21/03/2021,16:00,Admira,Sturm Graz,0,0,D,4.69,3.85,1.79,4.75,4.09,1.82,4.49,3.7,1.75,,,,,,
Austria,Bundesliga,2020/2021,21/03/2021,16:00,Hartberg,St. Polten,3,3,D,1.96,3.74,3.95,2.02,3.84,4.1,1.9,3.61,3.79,,,,,,
Austria,Bundesliga,2020/2021,21/03/2021,16:00,Austria Vienna,Wolfsberger AC,3,5,A,3.12,3.61,2.33,3.17,3.78,2.38,2.94,3.49,2.27,,,,,,
Austria,Bundesliga,2020/2021,21/03/2021,16:00,Altach,Ried,2,1,H,2.42,3.26,3.26,2.48,3.46,3.3,2.38,3.15,3.04,,,,,,
Austria,Bundesliga,2020/2021,04/04/2021,13:30,Tirol,LASK,2,0,H,5.46,4.98,1.54,6.0,4.98,1.71,5.27,4.56,1.52,,,,,,
Austria,Bundesliga,2020/2021,21/03/2021,16:00,Tirol,SK Rapid,1,1,D,3.9,4.25,1.86,4.29,4.31,1.86,3.82,4.02,1.8,,,,,,
Austria,Bundesliga,2020/2021,04/04/2021,13:30,Wolfsberger AC,SK Rapid,1,8,A,3.34,3.63,2.2,3.45,3.84,2.2,3.19,3.62,2.1,,,,,,
Austria,Bundesliga,2020/2021,18/04/2021,13:30,Salzburg,LASK,2,0,H,1.51,4.8,6.17,1.54,4.99,6.18,1.48,4.58,5.82,,,,,,
Austria,Bundesliga,2020/2021,10/04/2021,16:00,Admira,Ried,0,2,A,2.14,3.48,3.66,2.25,3.48,3.66,2.16,3.31,3.33,,,,,,
Austria,Bundesliga,2020/2021,10/04/2021,16:00,Altach,St. Polten,1,0,H,2.21,3.62,3.33,2.35,3.7,3.33,2.26,3.44,3.02,,,,,,
Austria,Bundesliga,2020/2021,10/04/2021,16:00,Hartberg,Austria Vienna,1,0,H,2.78,3.64,2.54,2.83,3.74,2.54,2.68,3.55,2.44,,,,,,
Austria,Bundesliga,2020/2021,11/04/2021,13:30,LASK,Wolfsberger AC,2,1,H,1.61,4.31,5.63,1.63,4.46,5.75,1.58,4.16,5.27,,,,,,
Austria,Bundesliga,2020/2021,11/04/2021,13:30,Sturm Graz,Tirol,3,2,H,2.01,3.77,3.78,2.05,3.77,3.87,1.98,3.57,3.58,,,,,,
Austria,Bundesliga,2020/2021,11/04/2021,16:00,SK Rapid,Salzburg,0,3,A,4.79,4.64,1.65,5.2,4.64,1.7,4.61,4.24,1.64,,,,,,
Austria,Bundesliga,2020/2021,17/04/2021,16:00,Admira,Hartberg,0,1,A,2.69,3.53,2.69,2.81,3.63,2.72,2.58,3.39,2.6,,,,,,
