Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2023/2024,10/03/2024,16:00,Wolfsberger AC,Altach,1,1,D,2.7,3.2,2.91,2.72,3.26,2.91,2.6,3.1,2.78,,,,,,
Austria,Bundesliga,2023/2024,03/03/2024,16:00,Sturm Graz,Wolfsberger AC,4,0,H,1.78,3.95,4.65,1.91,4.07,4.65,1.77,3.78,4.24,,,,,,
Austria,Bundesliga,2023/2024,03/03/2024,16:00,Tirol,Hartberg,1,0,H,3.52,3.53,2.17,3.53,3.59,2.2,3.34,3.43,2.11,,,,,,
Austria,Bundesliga,2023/2024,09/03/2024,16:00,LASK,Salzburg,0,1,A,4.11,3.65,1.95,4.33,3.81,1.95,4.04,3.54,1.87,,,,,,
Austria,Bundesliga,2023/2024,10/03/2024,16:00,A. Klagenfurt,SK Rapid,1,1,D,3.74,2.76,2.34,4.01,3.25,2.44,3.58,2.78,2.31,,,,,,
Austria,Bundesliga,2023/2024,10/03/2024,16:00,A. Lustenau,BW Linz,2,0,H,4.03,3.37,2.07,4.03,3.55,2.11,3.72,3.25,2.04,,,,,,
Austria,Bundesliga,2023/2024,10/03/2024,16:00,Austria Vienna,Tirol,2,0,H,1.49,4.53,7.26,1.51,4.6,7.26,1.47,4.37,6.47,,,,,,
Austria,Bundesliga,2023/2024,10/03/2024,16:00,Hartberg,Sturm Graz,1,1,D,3.42,3.27,2.33,3.5,3.38,2.33,3.3,3.22,2.21,,,,,,
Austria,Bundesliga,2023/2024,15/03/2024,18:30,SK Rapid,LASK,0,0,D,2.54,3.36,2.98,2.54,3.45,2.98,2.43,3.29,2.87,,,,,,
Austria,Bundesliga,2023/2024,31/03/2024,16:00,Sturm Graz,Salzburg,0,1,A,3.66,3.43,2.13,3.68,3.5,2.2,3.47,3.33,2.09,,,,,,
