Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2024/2025,09/03/2025,16:00,LASK,Tirol,2,1,H,1.5,4.39,6.92,1.51,4.39,8.0,1.48,4.23,6.69,1.52,4.5,7.8,,,
Austria,Bundesliga,2024/2025,16/03/2025,16:00,Salzburg,Wolfsberger AC,1,0,H,1.52,4.67,5.98,1.54,4.89,6.0,1.5,4.52,5.65,1.53,4.8,6.8,,,
Austria,Bundesliga,2024/2025,16/03/2025,16:00,BW Linz,Hartberg,4,1,H,2.14,3.32,3.77,2.17,3.5,3.8,2.1,3.27,3.53,2.18,3.4,3.9,,,
Austria,Bundesliga,2024/2025,09/03/2025,16:00,Wolfsberger AC,BW Linz,1,2,A,1.97,3.46,4.21,2.0,3.6,4.5,1.92,3.41,4.07,1.99,3.6,4.3,,,
Austria,Bundesliga,2024/2025,09/03/2025,16:45,Hartberg,SK Rapid,2,1,H,4.45,3.78,1.83,4.33,3.85,1.85,4.15,3.71,1.8,4.5,3.8,1.9,,,
Austria,Bundesliga,2024/2025,09/03/2025,16:15,Grazer AK,Sturm Graz,1,2,A,5.69,3.93,1.65,5.75,4.01,1.68,5.27,3.84,1.64,5.9,4.1,1.68,,,
Austria,Bundesliga,2024/2025,16/03/2025,16:00,SK Rapid,Grazer AK,3,0,H,1.3,5.76,11.26,1.33,5.79,11.26,1.29,5.36,9.57,1.32,5.8,11.5,,,
Austria,Bundesliga,2024/2025,16/03/2025,16:00,A. Klagenfurt,Altach,2,2,D,3.05,3.17,2.56,3.05,3.3,2.63,2.93,3.08,2.51,3.1,3.15,2.7,,,
Austria,Bundesliga,2024/2025,16/03/2025,16:00,Sturm Graz,LASK,4,2,H,1.82,3.91,4.35,1.85,3.97,4.35,1.8,3.76,4.08,1.83,3.9,4.8,,,
Austria,Bundesliga,2024/2025,05/04/2025,16:00,LASK,Grazer AK,1,0,H,1.75,3.74,5.03,1.78,3.75,5.14,1.74,3.61,4.7,1.81,3.8,5.2,,,
