Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
11/09/2020,18:00,Rizespor,Fenerbahce,0,0,1,2,3.77,3.66,1.9,1.77,2.04,9,17,3,8
12/09/2020,15:00,Karagumruk,Yeni Malatyaspor,1,0,3,0,2.79,3.35,2.43,1.84,1.95,7,20,6,7
12/09/2020,15:00,Sivasspor,Alanyaspor,0,1,0,2,2.25,3.53,2.93,1.67,2.17,10,12,4,6
12/09/2020,18:00,Galatasaray,Gaziantep,3,0,3,1,1.5,4.32,5.92,1.62,2.27,23,9,12,2
12/09/2020,18:00,Goztep,Denizlispor,3,0,5,1,2.21,3.31,3.2,2.09,1.73,10,8,6,1
13/09/2020,15:00,Ankaragucu,Erzurum BB,0,0,1,2,2.45,3.23,2.82,2.05,1.75,8,12,5,4
13/09/2020,15:00,Kayserispor,Kasimpasa,1,0,1,0,2.7,3.45,2.44,1.75,2.07,6,12,2,3
13/09/2020,18:00,Antalyaspor,Genclerbirligi,1,0,2,0,2.18,3.36,3.18,1.71,2.11,9,6,5,1
13/09/2020,18:00,Trabzonspor,Besiktas,0,1,1,3,2.1,3.48,3.29,1.6,2.3,8,12,4,5
14/09/2020,18:00,Hatayspor,Buyuksehyr,1,0,2,0,4.62,3.57,1.74,1.99,1.8,12,15,6,2
18/09/2020,18:00,Yeni Malatyaspor,Goztep,1,1,1,1,2.64,3.36,2.55,1.84,1.97,14,3,1,1
19/09/2020,11:30,Genclerbirligi,Konyaspor,0,0,0,0,2.32,3.22,3.07,2.18,1.68,12,10,1,1
19/09/2020,14:00,Denizlispor,Trabzonspor,0,0,0,0,3.6,3.69,1.93,1.74,2.08,9,13,2,4
19/09/2020,17:00,Alanyaspor,Kayserispor,1,0,2,0,1.44,4.43,6.71,1.72,2.11,18,10,8,1
19/09/2020,17:00,Besiktas,Antalyaspor,1,0,1,1,1.6,4.12,5.1,1.61,2.3,12,8,3,4
20/09/2020,11:30,Erzurum BB,Sivasspor,0,0,1,2,2.9,3.16,2.46,1.99,1.81,7,9,3,3
20/09/2020,14:00,Kasimpasa,Rizespor,1,0,2,0,1.89,3.71,3.72,1.65,2.21,16,11,7,6
