threshold,bets,roi,accuracy,profit
1.3,1532,-0.006168407310704965,0.8231070496083551,-9.450000000000006
1.4,2760,-0.008025362318840582,0.7815217391304348,-22.150000000000006
1.5,4083,0.0036909135439627708,0.7553269654665687,15.069999999999993
1.6,5563,-0.004542513032536404,0.7199352867158009,-25.270000000000014
1.7,7221,-0.014050685500623187,0.6859160781055256,-101.46000000000004
1.8,9004,-0.016218347401155044,0.6599289204797868,-146.03000000000003
1.9,10825,-0.022155196304849883,0.634919168591224,-239.82999999999998
2.0,12779,-0.023127787776821344,0.6142890680021911,-295.54999999999995
2.1,14721,-0.024333944704843423,0.5954758508253516,-358.22
2.2,16753,-0.02464394436817287,0.5792395391870113,-412.8600000000001
2.3,18754,-0.0281220006398635,0.5636130958728804,-527.4000000000001
2.4,20919,-0.028243223863473405,0.5494526507003202,-590.8200000000002
2.5,22917,-0.036227691233582056,0.5344067722651307,-830.23
