market,confidence,correct
Over 0.5 Goal,85.1,1
Under 2.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.8,1
Over 0.5 Goal,92.4,1
Over 1.5 Goal,72.8,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,74.1,1
Over 0.5 Goal,92.8,1
Over 1.5 Goal,73.7,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,76.2,0
Over 0.5 Goal,95.0,1
Over 1.5 Goal,79.9,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,73.2,1
Multigol Casa 1-4,80.0,1
Multigol Casa 1-5,82.4,1
Doppia Chance 12,72.7,0
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,78.2,1
Over 0.5 Goal,97.0,1
Over 1.5 Goal,86.4,0
Over 2.5 Goal,67.7,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.9,1
Over 0.5 Goal,93.6,1
Over 1.5 Goal,76.1,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,71.8,0
Over 0.5 Goal,90.1,1
Under 3.5 Goal,100.0,1
Over 0.5 Goal,85.8,1
Under 2.5 Goal,68.9,0
Under 3.5 Goal,100.0,0
Over 0.5 Goal,87.5,0
Under 2.5 Goal,65.6,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,72.1,0
Under 2.5 Goal,75.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Multigol Ospite 1-3,68.4,0
Multigol Ospite 1-4,71.5,1
Multigol Ospite 1-5,72.3,1
Doppia Chance 12,75.0,1
Over 0.5 Goal,94.4,1
Over 1.5 Goal,78.1,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,70.6,1
Multigol Ospite 1-4,74.8,1
Multigol Ospite 1-5,76.0,1
Under 2.5 Goal,83.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.4,1
Over 0.5 Goal,93.8,1
Over 1.5 Goal,76.5,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.2,0
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,80.0,1
Doppia Chance 12,79.9,1
Over 0.5 Goal,96.9,1
Over 1.5 Goal,86.0,1
Over 2.5 Goal,66.9,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.2,1
Multigol Casa 1-4,84.0,1
Multigol Casa 1-5,89.4,1
Doppia Chance 12,74.7,0
Over 0.5 Goal,93.4,1
Over 1.5 Goal,75.5,1
Under 3.5 Goal,100.0,0
Multigol Ospite 1-3,66.0,1
Doppia Chance 12,73.2,1
Over 0.5 Goal,91.9,1
Over 1.5 Goal,71.5,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.7,0
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.9,0
Over 0.5 Goal,91.8,1
Over 1.5 Goal,71.1,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,67.6,1
Over 0.5 Goal,87.5,1
Under 2.5 Goal,65.5,1
Under 3.5 Goal,100.0,1
1X2 Ospite,70.2,0
Doppia Chance X2,88.3,0
Doppia Chance 12,81.9,1
Over 0.5 Goal,95.3,1
Over 1.5 Goal,80.8,1
Under 3.5 Goal,100.0,0
Doppia Chance X2,70.2,0
Doppia Chance 12,74.3,1
Over 0.5 Goal,93.0,1
Over 1.5 Goal,74.4,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,71.4,0
Multigol Ospite 1-4,76.1,0
Multigol Ospite 1-5,77.5,0
Doppia Chance 12,70.5,0
Over 0.5 Goal,88.2,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,68.4,1
Multigol Ospite 1-4,71.5,1
Multigol Ospite 1-5,72.3,1
Doppia Chance 12,74.7,1
Over 0.5 Goal,94.0,1
Over 1.5 Goal,77.1,0
Under 3.5 Goal,100.0,1
Doppia Chance X2,75.7,1
Under 2.5 Goal,79.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.2,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,0
Doppia Chance 1X,82.5,0
Doppia Chance 12,71.7,1
Over 0.5 Goal,86.3,1
Under 2.5 Goal,68.2,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,69.3,1
Doppia Chance 12,70.2,0
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,77.4,0
Over 0.5 Goal,95.9,1
Over 1.5 Goal,82.8,1
Over 2.5 Goal,61.7,1
Under 3.5 Goal,100.0,0
Doppia Chance X2,78.8,1
Doppia Chance 12,78.7,1
Over 0.5 Goal,96.1,1
Over 1.5 Goal,83.3,1
Over 2.5 Goal,62.4,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,75.5,0
Over 0.5 Goal,94.9,1
Over 1.5 Goal,79.7,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Doppia Chance 12,73.6,1
Over 0.5 Goal,92.3,1
Over 1.5 Goal,72.5,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,65.3,1
Doppia Chance 12,74.1,1
Over 0.5 Goal,93.3,1
Over 1.5 Goal,75.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.9,1
Over 0.5 Goal,94.3,1
Over 1.5 Goal,77.8,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,71.1,1
Over 0.5 Goal,89.1,1
Under 3.5 Goal,100.0,1
Over 0.5 Goal,87.4,1
Under 2.5 Goal,65.9,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,65.0,1
Doppia Chance 12,71.4,1
Over 0.5 Goal,89.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,0
Over 0.5 Goal,91.4,0
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Doppia Chance X2,74.5,1
Doppia Chance 12,73.1,0
Over 0.5 Goal,90.8,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,70.6,1
Multigol Ospite 1-4,74.7,1
Multigol Ospite 1-5,75.9,1
Doppia Chance 1X,79.6,1
Under 2.5 Goal,73.7,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,73.1,1
Under 2.5 Goal,83.4,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,83.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,0
Over 0.5 Goal,91.4,0
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.1,1
Over 0.5 Goal,93.3,1
Over 1.5 Goal,75.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,83.3,1
Doppia Chance 12,76.7,0
Over 0.5 Goal,92.2,1
Over 1.5 Goal,72.1,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.2,1
Multigol Casa 1-4,80.2,1
Multigol Casa 1-5,82.6,1
Doppia Chance 1X,76.2,1
Under 2.5 Goal,79.2,1
Under 3.5 Goal,100.0,1
1X2 Casa,65.8,0
Doppia Chance 1X,86.4,1
Doppia Chance 12,79.4,0
Over 0.5 Goal,93.6,1
Over 1.5 Goal,76.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,76.2,1
Under 2.5 Goal,79.2,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.9,1
Over 0.5 Goal,95.4,1
Over 1.5 Goal,81.1,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,71.5,1
Multigol Ospite 1-4,76.2,1
Multigol Ospite 1-5,77.7,1
Doppia Chance 12,70.2,0
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,74.4,1
Over 0.5 Goal,93.7,1
Over 1.5 Goal,76.2,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.7,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.6,1
Over 1.5 Goal,70.8,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,66.1,1
Under 2.5 Goal,74.2,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,73.9,1
Over 0.5 Goal,92.4,1
Over 1.5 Goal,72.7,1
Under 3.5 Goal,100.0,0
1X2 Casa,61.4,1
Doppia Chance 1X,81.2,1
Doppia Chance 12,80.2,1
Over 0.5 Goal,96.8,1
Over 1.5 Goal,85.5,1
Over 2.5 Goal,66.1,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,74.2,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,75.8,1
Over 0.5 Goal,94.7,1
Over 1.5 Goal,79.1,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,73.5,1
Doppia Chance 12,78.8,1
Over 0.5 Goal,97.3,1
Over 1.5 Goal,87.6,1
Over 2.5 Goal,69.9,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,72.8,1
Multigol Ospite 1-4,83.6,1
Multigol Ospite 1-5,88.3,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
1X2 Casa,71.8,1
Doppia Chance 1X,87.0,1
Doppia Chance 12,84.8,1
Over 0.5 Goal,98.6,1
Over 1.5 Goal,92.4,1
Over 2.5 Goal,79.0,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-4,83.1,1
Multigol Casa 1-5,95.1,1
Doppia Chance 1X,77.3,1
Doppia Chance 12,73.3,1
Over 0.5 Goal,90.3,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,69.3,0
Doppia Chance 12,75.0,1
Over 0.5 Goal,94.3,1
Over 1.5 Goal,78.0,1
Under 3.5 Goal,100.0,0
Doppia Chance X2,72.2,0
Doppia Chance 12,73.8,1
Over 0.5 Goal,92.1,1
Over 1.5 Goal,72.1,1
Under 3.5 Goal,100.0,0
Doppia Chance 1X,75.2,1
Over 0.5 Goal,85.3,1
Under 2.5 Goal,69.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,77.8,1
Doppia Chance 12,71.8,0
Over 0.5 Goal,88.2,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,69.3,1
Doppia Chance X2,81.6,0
Doppia Chance 12,75.1,1
Over 0.5 Goal,91.0,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,72.5,1
Multigol Ospite 1-4,78.3,1
Multigol Ospite 1-5,80.1,1
Doppia Chance 1X,76.0,1
Doppia Chance 12,77.2,1
Over 0.5 Goal,95.2,1
Over 1.5 Goal,80.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,70.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.3,1
Over 0.5 Goal,93.4,1
Over 1.5 Goal,75.5,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,82.5,1
Doppia Chance 12,71.7,0
Over 0.5 Goal,86.3,1
Under 2.5 Goal,68.2,0
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,69.5,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,68.4,1
Multigol Ospite 1-4,71.5,1
Multigol Ospite 1-5,72.3,1
Doppia Chance 12,75.2,1
Over 0.5 Goal,94.4,1
Over 1.5 Goal,78.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,68.4,0
Multigol Ospite 1-4,71.5,0
Multigol Ospite 1-5,72.3,0
Doppia Chance 12,76.5,0
Over 0.5 Goal,95.6,1
Over 1.5 Goal,81.8,1
Over 2.5 Goal,60.2,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,77.7,1
Over 0.5 Goal,96.2,1
Over 1.5 Goal,83.7,1
Over 2.5 Goal,63.2,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,73.4,0
Multigol Casa 1-4,82.3,0
Multigol Casa 1-5,85.8,1
Doppia Chance X2,74.4,0
Doppia Chance 12,73.1,1
Over 0.5 Goal,90.8,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,0
Doppia Chance 1X,76.5,1
Doppia Chance 12,78.6,0
Over 0.5 Goal,96.5,1
Over 1.5 Goal,84.7,1
Over 2.5 Goal,64.8,0
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,68.4,1
Multigol Ospite 1-4,71.5,1
Multigol Ospite 1-5,72.3,1
Doppia Chance 1X,75.8,1
Doppia Chance 12,73.4,1
Over 0.5 Goal,90.9,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,71.0,1
Multigol Casa 1-4,75.5,1
Multigol Casa 1-5,76.8,1
Doppia Chance 12,70.2,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.3,1
Over 0.5 Goal,87.9,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,0
Doppia Chance 12,76.6,1
Over 0.5 Goal,95.8,1
Over 1.5 Goal,82.4,1
Over 2.5 Goal,61.1,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,83.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,70.0,0
Over 0.5 Goal,87.8,0
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.2,1
Over 0.5 Goal,91.9,1
Over 1.5 Goal,71.5,1
Under 3.5 Goal,100.0,0
Under 2.5 Goal,79.9,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,70.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,76.0,1
Doppia Chance 12,75.7,1
Over 0.5 Goal,93.6,1
Over 1.5 Goal,76.0,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,73.0,0
Multigol Casa 1-4,79.3,1
Multigol Casa 1-5,81.5,1
Doppia Chance 12,71.9,0
Over 0.5 Goal,90.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Doppia Chance 12,71.4,1
Over 0.5 Goal,89.8,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.0,1
Over 0.5 Goal,93.2,1
Over 1.5 Goal,74.9,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,73.9,0
Over 0.5 Goal,93.1,1
Over 1.5 Goal,74.6,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,70.2,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,69.3,0
Doppia Chance 12,71.8,0
Over 0.5 Goal,89.5,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,72.0,0
Over 0.5 Goal,90.3,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.4,1
Over 0.5 Goal,91.1,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,67.1,0
Doppia Chance 12,70.2,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,73.6,1
Doppia Chance 12,73.4,1
Over 0.5 Goal,91.5,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.5,0
Over 0.5 Goal,92.4,1
Over 1.5 Goal,72.9,1
Under 3.5 Goal,100.0,0
Doppia Chance X2,73.1,0
Doppia Chance 12,76.5,1
Over 0.5 Goal,95.1,1
Over 1.5 Goal,80.2,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.6,1
Over 1.5 Goal,70.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.8,1
Over 0.5 Goal,91.7,1
Over 1.5 Goal,71.1,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,75.2,1
Over 0.5 Goal,94.4,1
Over 1.5 Goal,78.1,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,73.5,1
Over 0.5 Goal,92.5,1
Over 1.5 Goal,73.2,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,70.2,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,1
Doppia Chance X2,72.8,0
Under 2.5 Goal,74.2,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,77.3,0
Over 0.5 Goal,96.9,1
Over 1.5 Goal,85.9,1
Over 2.5 Goal,66.9,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.4,1
Multigol Casa 1-4,80.8,1
Multigol Casa 1-5,83.5,1
1X2 Casa,71.3,0
Doppia Chance 1X,90.0,1
Doppia Chance 12,81.3,0
Over 0.5 Goal,93.5,1
Over 1.5 Goal,75.6,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,73.3,0
Under 3.5 Goal,100.0,0
1X2 Ospite,73.4,1
Doppia Chance X2,87.9,1
Doppia Chance 12,85.5,1
Over 0.5 Goal,98.7,1
Over 1.5 Goal,93.0,1
Over 2.5 Goal,80.1,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,67.4,1
Doppia Chance 12,75.9,1
Over 0.5 Goal,95.1,1
Over 1.5 Goal,80.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.7,1
Over 0.5 Goal,92.5,1
Over 1.5 Goal,73.1,1
Under 3.5 Goal,100.0,0
Multigol Ospite 1-3,70.5,1
Multigol Ospite 1-4,74.7,1
Multigol Ospite 1-5,75.8,1
Doppia Chance 1X,78.2,1
Doppia Chance 12,77.0,1
Over 0.5 Goal,94.4,1
Over 1.5 Goal,78.2,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.9,1
Over 0.5 Goal,94.7,1
Over 1.5 Goal,79.1,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.9,1
Multigol Casa 1-4,79.3,1
Multigol Casa 1-5,81.4,1
Doppia Chance 1X,80.8,1
Doppia Chance 12,74.3,1
Over 0.5 Goal,90.4,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.0,1
Multigol Casa 1-4,77.1,1
Multigol Casa 1-5,78.8,1
Doppia Chance X2,76.9,1
Doppia Chance 12,71.1,1
Over 0.5 Goal,87.5,1
Under 2.5 Goal,65.6,0
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,68.4,1
Multigol Ospite 1-4,71.5,1
Multigol Ospite 1-5,72.3,1
Doppia Chance 1X,81.1,0
Doppia Chance 12,70.1,1
Under 2.5 Goal,71.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,76.6,1
Doppia Chance 12,80.1,1
Over 0.5 Goal,97.9,1
Over 1.5 Goal,89.7,1
Over 2.5 Goal,73.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,82.5,0
Doppia Chance 12,71.7,1
Over 0.5 Goal,86.3,1
Under 2.5 Goal,68.2,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.3,1
Over 0.5 Goal,94.1,1
Over 1.5 Goal,77.5,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.5,1
Multigol Casa 1-4,78.3,1
Multigol Casa 1-5,80.2,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Doppia Chance X2,77.5,0
Doppia Chance 12,75.0,1
Over 0.5 Goal,92.4,1
Over 1.5 Goal,72.8,1
Under 3.5 Goal,100.0,0
Doppia Chance 1X,78.4,1
Doppia Chance 12,75.7,0
Over 0.5 Goal,92.9,1
Over 1.5 Goal,74.1,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,72.9,1
Multigol Casa 1-4,79.3,1
Multigol Casa 1-5,81.4,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.6,1
Under 2.5 Goal,65.3,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.0,1
Over 0.5 Goal,91.3,1
Over 1.5 Goal,70.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.2,1
Over 0.5 Goal,94.6,1
Over 1.5 Goal,78.9,1
Under 3.5 Goal,100.0,0
Doppia Chance X2,75.5,1
Doppia Chance 12,73.8,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.3,1
Under 3.5 Goal,100.0,0
Multigol Ospite 1-3,71.4,1
Multigol Ospite 1-4,76.1,1
Multigol Ospite 1-5,77.5,1
Doppia Chance X2,72.1,1
Under 2.5 Goal,75.1,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,74.4,0
Doppia Chance 12,79.3,1
Over 0.5 Goal,97.6,1
Over 1.5 Goal,88.6,1
Over 2.5 Goal,71.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,84.2,1
Doppia Chance 12,73.7,1
Over 0.5 Goal,88.0,1
Under 3.5 Goal,100.0,0
Doppia Chance 1X,80.6,1
Doppia Chance 12,76.9,1
Over 0.5 Goal,93.5,1
Over 1.5 Goal,75.8,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.4,1
Multigol Casa 1-4,80.8,1
Multigol Casa 1-5,83.5,1
Doppia Chance 12,74.8,0
Over 0.5 Goal,92.8,0
Over 1.5 Goal,73.8,0
Under 3.5 Goal,100.0,1
Under 2.5 Goal,79.8,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.2,0
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,72.7,1
Doppia Chance 12,73.0,1
Over 0.5 Goal,91.0,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,76.3,1
Over 0.5 Goal,94.7,1
Over 1.5 Goal,79.0,0
Under 3.5 Goal,100.0,1
Doppia Chance X2,70.9,0
Over 0.5 Goal,87.1,1
Under 2.5 Goal,66.3,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,71.6,1
Over 0.5 Goal,90.0,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,75.0,0
Over 0.5 Goal,94.1,0
Over 1.5 Goal,77.5,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,71.9,0
Multigol Casa 1-4,77.0,0
Multigol Casa 1-5,78.5,0
Doppia Chance 12,73.7,1
Over 0.5 Goal,91.7,1
Over 1.5 Goal,71.0,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.8,1
Over 0.5 Goal,93.2,1
Over 1.5 Goal,75.0,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,72.2,1
Multigol Casa 1-4,77.6,1
Multigol Casa 1-5,79.3,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.5,1
Over 0.5 Goal,94.9,1
Over 1.5 Goal,79.7,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.5,1
Over 0.5 Goal,91.3,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,71.8,0
Over 0.5 Goal,89.5,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,76.5,0
Over 0.5 Goal,95.9,1
Over 1.5 Goal,82.7,1
Over 2.5 Goal,61.6,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,74.7,1
Over 0.5 Goal,94.0,1
Over 1.5 Goal,77.2,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
Doppia Chance 12,78.3,1
Over 0.5 Goal,96.9,1
Over 1.5 Goal,86.1,1
Over 2.5 Goal,67.1,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.1,1
Over 0.5 Goal,93.6,1
Over 1.5 Goal,75.9,1
Under 3.5 Goal,100.0,1
Under 2.5 Goal,71.5,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,76.1,1
Over 0.5 Goal,94.4,1
Over 1.5 Goal,78.3,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,73.2,0
Multigol Casa 1-4,79.9,0
Multigol Casa 1-5,82.2,0
Doppia Chance 1X,82.1,1
Doppia Chance 12,75.1,0
Over 0.5 Goal,90.8,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.6,0
Over 0.5 Goal,94.6,1
Over 1.5 Goal,78.9,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,73.9,1
Over 0.5 Goal,93.0,1
Over 1.5 Goal,74.5,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,81.9,1
Doppia Chance 12,74.9,1
Over 0.5 Goal,90.7,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,90.4,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,69.3,1
Doppia Chance X2,70.5,1
Doppia Chance 12,71.7,0
