match_idx,date_orig,home_team,away_team,lambda_home_orig,lambda_away_orig,O_0_5_orig,O_1_5_orig,MG_Casa_1_3_orig,MG_Casa_1_4_orig,MG_Casa_1_5_orig,MG_Ospite_1_3_orig,MG_Ospite_1_4_orig,MG_Ospite_1_5_orig,1X2_H_orig,1X2_D_orig,1X2_A_orig,odds_1,odds_X,odds_2,actual_home_goals,actual_away_goals,actual_scoreline_orig,top_scoreline_1,top_scoreline_2,top_scoreline_3,top_scoreline_4,date_new,lambda_home_new,lambda_away_new,O_0_5_new,O_1_5_new,O_2_5,MG_Casa_1_3_new,MG_Casa_1_4_new,MG_Casa_1_5_new,MG_Ospite_1_3_new,MG_Ospite_1_4_new,MG_Ospite_1_5_new,1X2_H_new,1X2_D_new,1X2_A_new,actual_scoreline_new,confidence,lambda_home_diff,lambda_away_diff,1x2_h_diff,1x2_d_diff,1x2_a_diff,o25_orig_calc,ou25_diff,confidence_bin
2661,2025-08-23,Milan,Cremonese,1.6692,1.1674285714285713,0.9408654620034226,0.7731227419641028,0.7283211618878922,0.7897119543066715,0.8102066564477568,0.6586823586231151,0.6827964144184737,0.6884267019601785,0.4877902258366172,0.2442573257865438,0.2679524483768391,1.34,5.09,8.57,1,2,1-2,1-1 (0.115),1-0 (0.099),2-1 (0.096),2-0 (0.082),2025-08-23,1.471,1.005,0.916,0.707,0.448,0.711,0.756,0.769,0.615,0.631,0.634,0.477,0.264,0.259,1-2,1.0,-0.19819999999999993,-0.16242857142857137,-0.010790225836617207,0.019742674213456213,-0.008952448376839117,0.5305808384901236,-0.0825808384901236,High
2662,2025-08-23,Genoa,Lecce,1.255,1.094,0.904265990644406,0.6793868026681155,0.6774572393237337,0.7069787829468553,0.7143886903962589,0.6404274849657279,0.6604329611541067,0.6648101593441241,0.3991114948265,0.2797952376837183,0.3210932674897817,1.91,3.28,4.29,0,0,0-0,1-1 (0.131),1-0 (0.120),0-1 (0.105),0-0 (0.096),2025-08-23,1.255,1.094,0.904,0.679,0.415,0.677,0.707,0.714,0.64,0.66,0.665,0.399,0.28,0.321,0-0,1.0,0.0,0.0,-0.00011149482649996934,0.00020476231628174801,-9.326748978166766e-05,0.4140974864694221,0.0009025135305778531,High
2663,2025-08-23,Sassuolo,Napoli,0.8867272727272728,0.998,0.8479918648242395,0.5614979867820697,0.5753677040112487,0.5859843240029852,0.587867133301156,0.6128787085989856,0.6281241676095342,0.6311671612280396,0.3105805779043546,0.3193832852832716,0.3700361368123737,6.08,4.02,1.54,0,2,0-2,0-0 (0.152),0-1 (0.152),1-0 (0.135),1-1 (0.135),2025-08-23,1.019,0.866,0.848,0.561,0.291,0.619,0.635,0.639,0.568,0.578,0.579,0.381,0.319,0.3,0-2,1.0,0.1322727272727271,-0.132,0.07041942209564539,-0.00038328528327158384,-0.0700361368123737,0.2912525697479006,-0.0002525697479006106,High
2664,2025-08-24,Cagliari,Fiorentina,1.3264615384615386,1.2593333333333336,0.9243335709295114,0.7286757066720114,0.6905036816330786,0.7248249359276442,0.7339301006823441,0.6783051690968688,0.7081081048957195,0.7156144709922568,0.382682915516592,0.2657379112808156,0.3515791732025924,3.17,3.27,2.25,1,1,1-1,1-1 (0.126),1-0 (0.100),0-1 (0.095),2-1 (0.084),2025-08-24,1.458,1.127,0.924,0.729,0.475,0.71,0.754,0.766,0.649,0.671,0.676,0.446,0.262,0.293,1-1,1.0,0.13153846153846138,-0.13233333333333364,0.063317084483408,-0.0037379112808155757,-0.05857917320259243,0.47363385742166897,0.0013661425783310088,High
2665,2025-08-24,Como,Lazio,1.209,0.974,0.8870627457029099,0.6405207195723621,0.6679896601503991,0.6946035749044599,0.701038819491992,0.6053088567487106,0.6194748493660179,0.6222343847278695,0.4134940246289045,0.2905971373306857,0.2959088380404097,2.44,3.29,2.86,2,0,2-0,1-0 (0.137),1-1 (0.133),0-0 (0.113),0-1 (0.110),2025-08-24,1.209,0.974,0.887,0.641,0.371,0.668,0.695,0.701,0.605,0.619,0.622,0.413,0.291,0.296,2-0,1.0,0.0,0.0,-0.0004940246289045214,0.0004028626693142745,9.116195959030238e-05,0.37064941691194203,0.00035058308805796523,High
2666,2025-08-24,Atalanta,Pisa,1.4271249999999998,1.1378181818181816,0.9227166174751468,0.7244891324001786,0.7056483350693464,0.7472750395532188,0.7591563416805281,0.6516048763534519,0.6740143234880488,0.6791138987668965,0.4351155523446104,0.2639061128443091,0.3009783348110804,1.38,4.86,7.63,1,1,1-1,1-1 (0.125),1-0 (0.110),2-1 (0.090),0-1 (0.088),2025-08-24,1.229,0.976,0.889,0.646,0.377,0.672,0.7,0.707,0.606,0.62,0.623,0.419,0.288,0.293,1-1,0.0,-0.19812499999999966,-0.16181818181818164,-0.01611555234461043,0.024093887155690885,-0.007978334811080401,0.4680784517237333,-0.0910784517237333,
2667,2025-08-24,Juventus,Parma,1.4529999999999998,1.1923636363636363,0.9286440240661966,0.7398815200936741,0.7089634721813832,0.7525635213414108,0.7652336956273147,0.6643519759747105,0.6899506951781067,0.6960552915612293,0.4295427100053774,0.2600264220184106,0.3104308679762117,1.42,4.58,7.26,2,0,2-0,1-1 (0.124),1-0 (0.104),2-1 (0.090),0-1 (0.085),2025-08-24,1.255,1.03,0.898,0.665,0.399,0.677,0.707,0.714,0.623,0.639,0.643,0.413,0.283,0.303,2-0,1.0,-0.19799999999999995,-0.16236363636363627,-0.016542710005377437,0.022973577981589388,-0.00743086797621173,0.4876226973216487,-0.08862269732164868,High
2668,2025-08-25,Udinese,Verona,1.002,1.1425714285714288,0.8826738168907658,0.6310594367713626,0.6141132309254206,0.629542927171862,0.6326350382996488,0.652766539041858,0.6754453043976836,0.680627726263852,0.316818907419199,0.2953489570145856,0.3878321355662154,1.95,3.33,3.95,1,1,1-1,1-1 (0.134),0-1 (0.134),1-0 (0.118),0-0 (0.117),2025-08-25,1.002,1.143,0.883,0.631,0.361,0.614,0.63,0.633,0.653,0.675,0.681,0.317,0.295,0.388,1-1,1.0,0.0,0.00042857142857122277,0.0001810925808010122,-0.0003489570145855936,0.0001678644337846369,0.3606165954299543,0.00038340457004570894,High
2669,2025-08-25,Inter,Torino,1.5084705882352942,0.996,0.9178576139018316,0.7121344238715017,0.7153156351234138,0.7632677672443325,0.7777346434338483,0.6122585565006343,0.6274123599376427,0.6304309975822946,0.4890582837163159,0.2604202203617991,0.2505214959218851,1.41,4.67,7.28,5,0,5-0,1-0 (0.124),1-1 (0.123),2-0 (0.093),2-1 (0.093),2025-08-25,1.31,0.834,0.883,0.631,0.361,0.688,0.721,0.73,0.555,0.564,0.566,0.476,0.285,0.238,5-0,1.0,-0.19847058823529418,-0.16200000000000003,-0.0130582837163159,0.02457977963820085,-0.012521495921885117,0.4521770182646729,-0.0911770182646729,High
2670,2025-08-29,Lecce,Milan,0.8305714285714286,1.3154736842105264,0.882750756431065,0.631128590292571,0.5540226172389867,0.5626659620412944,0.564101745089312,0.6886254976694146,0.7221870728339722,0.7310169466198979,0.236340030917925,0.2848978984872185,0.4787620705948565,6.03,3.94,1.57,0,2,0-2,0-1 (0.154),1-1 (0.128),0-0 (0.117),0-2 (0.101),2025-08-29,0.963,1.183,0.883,0.631,0.362,0.602,0.615,0.618,0.662,0.687,0.693,0.297,0.294,0.409,0-2,1.0,0.13242857142857134,-0.1324736842105263,0.060659969082074994,0.009102101512781458,-0.0697620705948565,0.36019756317874924,0.0018024368212507524,High
