Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
15/07/2022,19:30,Kaiserslautern,Hannover,1,0,2,1,,2.49,3.31,2.8,1.92,1.86
16/07/2022,12:00,Greuther Furth,Holstein Kiel,0,1,2,2,,2.22,3.37,3.19,1.88,1.91
16/07/2022,12:00,Regensburg,Darmstadt,1,0,2,0,,3.55,3.84,1.93,1.6,2.31
16/07/2022,12:00,Sandhausen,Bielefeld,1,0,2,1,,3.15,3.24,2.29,1.92,1.86
16/07/2022,12:00,St Pauli,Nurnberg,3,0,3,2,,2.38,3.51,2.81,1.65,2.22
16/07/2022,19:30,Magdeburg,Fortuna Dusseldorf,0,1,1,2,,2.77,3.47,2.43,1.77,2.03
17/07/2022,12:30,Braunschweig,Hamburg,0,0,0,2,,5.12,4.11,1.61,1.66,2.2
17/07/2022,12:30,Hansa Rostock,Heidenheim,0,0,0,1,,2.4,3.27,2.96,1.93,1.86
17/07/2022,12:30,Paderborn,Karlsruhe,0,0,5,0,,1.9,3.8,3.67,1.56,2.38
22/07/2022,17:30,Darmstadt,Sandhausen,1,1,2,1,,1.8,3.86,4.09,1.57,2.37
22/07/2022,17:30,Fortuna Dusseldorf,Paderborn,2,1,2,1,,2.34,3.59,2.83,1.64,2.23
23/07/2022,12:00,Heidenheim,Braunschweig,1,0,3,0,,2.01,3.48,3.61,1.88,1.89
23/07/2022,12:00,Holstein Kiel,Kaiserslautern,0,1,2,2,,2.18,3.42,3.22,1.83,1.95
23/07/2022,12:00,Nurnberg,Greuther Furth,1,0,2,0,,2.35,3.51,2.85,1.68,2.17
23/07/2022,19:30,Hannover,St Pauli,1,1,2,2,,2.27,3.59,2.93,1.62,2.26
24/07/2022,12:30,Bielefeld,Regensburg,0,1,0,3,,1.79,3.85,4.16,1.71,2.1
24/07/2022,12:30,Hamburg,Hansa Rostock,0,0,0,1,,1.49,4.49,5.98,1.56,2.37
24/07/2022,12:30,Karlsruhe,Magdeburg,0,3,2,3,,2.8,3.54,2.37,1.68,2.16
05/08/2022,17:30,Greuther Furth,Karlsruhe,0,0,1,1,,1.74,4.08,4.18,1.54,2.42
05/08/2022,17:30,Sandhausen,Fortuna Dusseldorf,0,0,1,0,,3.02,3.35,2.33,2.04,1.76
06/08/2022,12:00,Hamburg,Heidenheim,1,0,1,0,,1.65,4.07,4.73,1.63,2.25
06/08/2022,12:00,Paderborn,Hannover,1,2,4,2,,2.05,3.71,3.27,1.63,2.26
06/08/2022,12:00,Regensburg,Nurnberg,0,0,0,0,,2.68,3.42,2.52,1.76,2.04
06/08/2022,19:30,Hansa Rostock,Bielefeld,1,0,2,1,,2.46,3.25,2.88,2.04,1.76
07/08/2022,12:30,Braunschweig,Darmstadt,0,0,0,1,,3.14,3.53,2.17,1.69,2.13
07/08/2022,12:30,Kaiserslautern,St Pauli,1,0,2,1,,2.48,3.48,2.69,1.75,2.05
07/08/2022,12:30,Magdeburg,Holstein Kiel,1,1,1,2,,2.07,3.72,3.24,1.6,2.3
12/08/2022,17:30,Kaiserslautern,Paderborn,0,0,0,1,,2.81,3.56,2.36,1.62,2.27
12/08/2022,17:30,Nurnberg,Heidenheim,0,1,0,3,,2.11,3.49,3.34,1.8,2.0
13/08/2022,12:00,Bielefeld,Hamburg,0,1,0,2,,3.56,3.59,1.99,1.75,2.06
13/08/2022,12:00,Holstein Kiel,Braunschweig,1,0,3,0,,2.1,3.59,3.26,1.67,2.18
13/08/2022,12:00,Karlsruhe,Sandhausen,1,1,3,2,,2.27,3.42,3.04,1.82,1.97
13/08/2022,19:30,Darmstadt,Hansa Rostock,2,0,4,0,,1.8,3.79,4.14,1.68,2.17
