Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HS,AS,HST,AST
09/08/2024,19:00,Groningen,NAC Breda,3,0,4,1,1.61,4.06,5.33,1.62,2.27,17,7,9,3
10/08/2024,15:30,Feyenoord,Willem II,1,0,1,1,1.12,9.35,18.53,1.37,2.98,21,2,7,1
10/08/2024,17:45,Nijmegen,Twente,1,1,1,2,3.63,3.66,1.97,1.68,2.15,12,15,2,5
10/08/2024,19:00,Almere City,AZ Alkmaar,0,1,0,1,5.37,4.18,1.58,1.69,2.13,7,6,2,3
10/08/2024,20:00,PSV Eindhoven,Waalwijk,3,0,5,1,1.09,10.89,21.72,1.26,3.68,19,8,12,4
11/08/2024,11:15,Sparta Rotterdam,Heracles,0,0,0,0,1.5,4.58,5.88,1.52,2.48,9,10,1,2
11/08/2024,13:30,Go Ahead Eagles,For Sittard,0,0,0,2,2.0,3.52,3.65,1.84,1.96,18,13,4,4
11/08/2024,13:30,Utrecht,Zwolle,1,0,1,0,1.44,4.72,6.51,1.57,2.37,9,5,2,1
11/08/2024,15:45,Ajax,Heerenveen,1,0,1,0,1.46,4.83,5.99,1.4,2.85,12,7,4,2
16/08/2024,19:00,For Sittard,Almere City,1,0,3,0,1.79,3.67,4.44,1.94,1.86,20,8,9,4
17/08/2024,15:30,Heerenveen,Utrecht,0,1,1,1,2.64,3.57,2.52,1.62,2.28,21,6,7,4
17/08/2024,17:45,Twente,Sparta Rotterdam,0,0,1,1,1.51,4.49,5.8,1.58,2.34,21,11,3,3
17/08/2024,19:00,AZ Alkmaar,Nijmegen,1,0,1,0,1.47,4.66,6.14,1.58,2.36,16,8,6,1
17/08/2024,20:00,Waalwijk,Groningen,0,1,1,2,2.37,3.71,2.75,1.53,2.46,13,15,7,9
18/08/2024,11:15,Heracles,PSV Eindhoven,1,0,1,3,13.41,8.98,1.15,1.21,4.13,6,32,3,8
18/08/2024,13:30,Willem II,Go Ahead Eagles,2,0,2,0,3.0,3.55,2.26,1.75,2.07,8,11,3,1
18/08/2024,13:30,Zwolle,Feyenoord,0,1,1,5,9.34,6.69,1.25,1.31,3.32,7,16,2,8
18/08/2024,15:45,NAC Breda,Ajax,0,0,2,1,8.52,6.43,1.27,1.31,3.36,6,16,3,5
24/08/2024,17:45,Nijmegen,Zwolle,0,0,1,0,1.57,4.26,5.3,1.56,2.36,16,11,2,4
