Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
14/09/2019,14:00,Ascoli,Livorno,2,0,1,0,11,9,4,4,2.15,3.02,3.67,2.31,1.59,2019/2020,1920
14/09/2019,14:00,Cittadella,Trapani,2,0,0,0,13,8,6,4,1.82,3.29,4.63,2.07,1.74,2019/2020,1920
14/09/2019,14:00,Perugia,Juve Stabia,0,0,0,0,11,12,4,5,1.68,3.5,5.31,2.03,1.77,2019/2020,1920
14/09/2019,14:00,Virtus Entella,Frosinone,1,0,0,0,8,17,3,8,3.05,3.04,2.43,2.05,1.75,2019/2020,1920
14/09/2019,17:00,Venezia,Chievo,0,2,0,1,5,8,2,4,2.73,2.95,2.74,2.29,1.6,2019/2020,1920
15/09/2019,14:00,Cosenza,Pescara,1,2,0,1,13,6,5,1,2.39,2.98,3.17,2.24,1.63,2019/2020,1920
15/09/2019,14:00,Crotone,Empoli,0,0,0,0,19,10,6,1,2.61,3.03,2.81,2.05,1.76,2019/2020,1920
15/09/2019,20:00,Pisa,Cremonese,4,1,1,0,15,21,8,5,2.79,2.92,2.7,2.44,1.53,2019/2020,1920
16/09/2019,20:00,Salernitana,Benevento,0,2,0,0,10,14,0,4,2.77,2.97,2.68,2.14,1.69,2019/2020,1920
20/09/2019,20:00,Frosinone,Venezia,1,1,0,0,10,10,4,4,1.64,3.55,5.62,2.0,1.8,2019/2020,1920
21/09/2019,14:00,Benevento,Cosenza,1,0,0,0,14,10,3,5,1.6,3.62,6.03,2.09,1.73,2019/2020,1920
21/09/2019,14:00,Cremonese,Crotone,2,1,2,1,15,18,7,6,2.2,3.09,3.42,2.23,1.63,2019/2020,1920
21/09/2019,14:00,Empoli,Cittadella,1,0,1,0,10,16,3,2,1.72,3.43,5.11,1.98,1.82,2019/2020,1920
21/09/2019,14:00,Juve Stabia,Ascoli,1,5,0,0,20,19,9,9,2.31,3.05,3.24,2.17,1.67,2019/2020,1920
21/09/2019,14:00,Livorno,Pordenone,2,1,1,0,10,11,4,4,2.1,3.07,3.76,2.31,1.59,2019/2020,1920
21/09/2019,14:00,Pescara,Virtus Entella,1,1,0,1,11,5,5,3,2.49,3.13,2.87,2.09,1.73,2019/2020,1920
21/09/2019,14:00,Spezia,Perugia,2,2,2,1,13,11,5,5,2.38,3.05,3.11,2.16,1.68,2019/2020,1920
21/09/2019,17:00,Chievo,Pisa,2,2,0,1,18,14,8,4,2.07,3.09,3.82,2.22,1.64,2019/2020,1920
22/09/2019,20:00,Trapani,Salernitana,0,1,0,0,12,4,5,1,2.64,3.01,2.8,2.2,1.65,2019/2020,1920
24/09/2019,20:00,Ascoli,Spezia,3,0,2,0,8,15,4,1,2.45,3.07,2.99,2.06,1.75,2019/2020,1920
24/09/2019,20:00,Cittadella,Pescara,2,1,1,0,15,11,6,2,2.08,3.28,3.53,1.88,1.91,2019/2020,1920
24/09/2019,20:00,Cosenza,Livorno,1,1,0,0,9,12,5,4,2.39,2.87,3.32,2.59,1.48,2019/2020,1920
