Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
21/09/2018,,Bursaspor,Buyuksehyr,0,0,0,0,13,7,4,1,3.43,3.19,2.17,2.14,1.68,2018/2019,1819
21/09/2018,,Erzurum BB,Ankaragucu,0,1,0,0,25,3,8,1,2.08,3.49,3.36,1.82,1.95,2018/2019,1819
22/09/2018,,Kayserispor,Konyaspor,0,2,0,2,17,8,4,5,2.32,3.05,3.21,2.26,1.6,2018/2019,1819
22/09/2018,,Trabzonspor,Goztep,1,2,0,2,13,5,5,2,1.66,3.84,4.86,1.67,2.14,2018/2019,1819
22/09/2018,,Yeni Malatyaspor,Rizespor,1,0,1,0,23,7,9,1,1.9,3.42,4.0,1.97,1.81,2018/2019,1819
23/09/2018,,Akhisar Belediyespor,Galatasaray,3,0,0,0,10,12,5,3,4.43,3.86,1.71,1.55,2.38,2018/2019,1819
23/09/2018,,Antalyaspor,Sivasspor,2,1,2,1,6,15,3,2,2.34,3.5,2.79,1.6,2.25,2018/2019,1819
23/09/2018,,Kasimpasa,Alanyaspor,1,2,0,1,24,8,6,3,1.73,3.92,4.24,1.48,2.56,2018/2019,1819
24/09/2018,,Fenerbahce,Besiktas,1,1,0,1,13,11,7,4,2.41,3.35,2.8,1.78,1.99,2018/2019,1819
28/09/2018,,Galatasaray,Erzurum BB,1,0,0,0,12,10,7,1,1.31,5.33,9.19,1.54,1.54,2018/2019,1819
29/09/2018,,Alanyaspor,Akhisar Belediyespor,2,1,1,0,5,6,3,1,1.95,3.56,3.66,1.74,2.04,2018/2019,1819
29/09/2018,,Besiktas,Kayserispor,2,0,1,0,12,9,4,3,1.31,4.99,9.56,1.65,2.18,2018/2019,1819
29/09/2018,,Trabzonspor,Kasimpasa,4,2,1,2,19,16,7,9,1.88,3.87,3.61,1.36,3.0,2018/2019,1819
30/09/2018,,Goztep,Konyaspor,3,2,2,0,13,10,9,2,2.37,3.16,3.04,2.14,1.68,2018/2019,1819
30/09/2018,,Rizespor,Fenerbahce,3,0,3,0,9,17,4,5,3.81,3.43,1.94,1.79,2.0,2018/2019,1819
30/09/2018,,Sivasspor,Bursaspor,2,0,1,0,9,7,3,3,2.07,3.4,3.44,1.88,1.89,2018/2019,1819
01/10/2018,,Ankaragucu,Antalyaspor,0,1,0,1,14,11,3,6,2.16,3.37,3.22,1.83,1.95,2018/2019,1819
01/10/2018,,Buyuksehyr,Yeni Malatyaspor,1,1,0,1,14,11,6,3,1.34,4.8,8.74,1.79,1.98,2018/2019,1819
05/10/2018,,Kasimpasa,Goztep,3,1,1,0,19,12,5,5,2.25,3.52,2.97,1.6,2.28,2018/2019,1819
06/10/2018,,Antalyaspor,Galatasaray,0,1,0,0,5,15,0,7,4.49,3.79,1.72,1.63,2.22,2018/2019,1819
06/10/2018,,Bursaspor,Ankaragucu,1,0,1,0,13,7,5,2,1.99,3.33,3.79,2.11,1.7,2018/2019,1819
06/10/2018,,Erzurum BB,Alanyaspor,1,0,0,0,13,6,4,1,2.28,3.37,2.98,1.84,1.94,2018/2019,1819
06/10/2018,,Kayserispor,Rizespor,2,2,0,1,14,6,4,2,2.16,3.35,3.27,1.95,1.83,2018/2019,1819
07/10/2018,,Akhisar Belediyespor,Trabzonspor,1,3,0,2,11,10,4,4,3.02,3.49,2.22,1.64,2.22,2018/2019,1819
07/10/2018,,Fenerbahce,Buyuksehyr,0,0,0,0,16,9,4,3,2.39,3.28,2.91,1.94,1.83,2018/2019,1819
07/10/2018,,Konyaspor,Besiktas,2,2,1,0,15,7,5,4,4.7,3.7,1.71,1.78,2.0,2018/2019,1819
07/10/2018,,Yeni Malatyaspor,Sivasspor,4,4,1,3,23,12,8,5,2.31,3.26,3.06,2.05,1.74,2018/2019,1819
19/10/2018,,Galatasaray,Bursaspor,1,1,0,0,10,13,3,3,1.53,3.99,6.15,1.84,1.94,2018/2019,1819
20/10/2018,,Buyuksehyr,Kayserispor,1,0,1,0,14,7,3,2,1.43,4.33,7.09,1.78,2.01,2018/2019,1819
20/10/2018,,Kasimpasa,Akhisar Belediyespor,5,0,0,0,16,16,6,5,1.76,3.83,4.15,1.56,2.39,2018/2019,1819
20/10/2018,,Sivasspor,Fenerbahce,0,0,0,0,17,13,4,4,3.21,3.39,2.17,1.77,2.02,2018/2019,1819
21/10/2018,,Alanyaspor,Antalyaspor,0,1,0,1,12,10,0,3,1.99,3.52,3.52,1.75,2.03,2018/2019,1819
21/10/2018,,Ankaragucu,Yeni Malatyaspor,1,0,1,0,7,10,3,2,2.56,3.14,2.76,2.21,1.64,2018/2019,1819
21/10/2018,,Goztep,Besiktas,2,0,0,0,10,10,5,2,3.43,3.39,2.07,1.81,1.97,2018/2019,1819
21/10/2018,,Rizespor,Konyaspor,1,1,1,0,9,14,3,4,3.02,3.3,2.3,1.96,1.81,2018/2019,1819
22/10/2018,,Trabzonspor,Erzurum BB,0,0,0,0,13,10,1,4,1.44,4.44,6.34,1.58,2.3,2018/2019,1819
26/10/2018,,Bursaspor,Alanyaspor,2,0,2,0,12,7,7,0,1.81,3.44,4.59,2.24,1.63,2018/2019,1819
27/10/2018,,Antalyaspor,Trabzonspor,1,1,1,1,12,11,7,4,3.12,3.52,2.15,1.78,2.0,2018/2019,1819
27/10/2018,,Erzurum BB,Kasimpasa,1,1,1,0,14,18,5,7,2.65,3.38,2.52,1.66,2.18,2018/2019,1819
27/10/2018,,Konyaspor,Buyuksehyr,0,1,0,0,9,7,1,4,2.9,3.08,2.51,2.25,1.61,2018/2019,1819
28/10/2018,,Fenerbahce,Ankaragucu,1,3,0,1,13,17,3,8,1.43,4.31,7.27,1.76,2.03,2018/2019,1819
28/10/2018,,Kayserispor,Sivasspor,2,0,0,0,10,14,4,2,2.41,3.25,2.89,1.99,1.79,2018/2019,1819
