Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
27/08/2018,,Valenciennes,Ajaccio GFCO,0,0,0,0,12,7,7,2,2.06,3.13,3.62,2.15,1.66,2018/2019,1819
31/08/2018,,Ajaccio GFCO,Red Star,2,1,1,0,7,7,6,2,2.76,2.91,2.73,2.4,1.53,2018/2019,1819
31/08/2018,,Auxerre,Brest,0,2,0,0,14,10,5,7,2.05,3.16,3.75,2.05,1.74,2018/2019,1819
31/08/2018,,Chateauroux,Nancy,1,0,1,0,7,13,3,7,2.0,3.04,4.12,2.39,1.54,2018/2019,1819
31/08/2018,,Le Havre,Orleans,3,1,2,0,12,14,4,4,1.73,3.46,4.92,2.04,1.74,2018/2019,1819
31/08/2018,,Niort,Ajaccio,2,0,0,0,11,5,3,3,2.27,3.15,3.18,2.03,1.75,2018/2019,1819
31/08/2018,,Paris FC,Troyes,2,0,1,0,9,7,7,3,2.14,2.96,3.71,2.42,1.53,2018/2019,1819
31/08/2018,,Sochaux,Beziers,1,0,1,0,5,8,5,3,2.13,3.02,3.69,2.25,1.61,2018/2019,1819
31/08/2018,,Valenciennes,Clermont,0,4,0,3,8,10,5,10,2.55,3.05,2.82,2.08,1.72,2018/2019,1819
01/09/2018,,Metz,Lens,2,0,0,0,10,3,5,0,2.09,3.16,3.71,2.21,1.65,2018/2019,1819
03/09/2018,,Lorient,Grenoble,1,0,1,0,8,10,3,4,1.84,3.27,4.31,2.08,1.7,2018/2019,1819
14/09/2018,,Ajaccio,Paris FC,0,0,0,0,5,2,3,1,2.55,2.78,3.16,2.81,1.4,2018/2019,1819
14/09/2018,,Brest,Ajaccio GFCO,4,1,2,1,12,10,5,3,1.7,3.51,5.18,1.99,1.79,2018/2019,1819
14/09/2018,,Clermont,Auxerre,2,0,1,0,8,6,3,1,2.25,3.17,3.23,1.97,1.81,2018/2019,1819
14/09/2018,,Grenoble,Valenciennes,4,2,2,1,26,7,12,4,1.95,3.12,4.26,2.37,1.55,2018/2019,1819
14/09/2018,,Nancy,Le Havre,0,1,0,1,8,16,2,3,3.09,2.96,2.46,2.47,1.51,2018/2019,1819
14/09/2018,,Orleans,Chateauroux,2,0,1,0,10,12,4,1,2.4,3.05,3.08,2.12,1.7,2018/2019,1819
14/09/2018,,Red Star,Lorient,0,3,0,2,4,11,1,5,3.31,2.98,2.31,2.3,1.58,2018/2019,1819
14/09/2018,,Troyes,Niort,2,0,1,0,12,9,4,1,2.25,3.03,3.38,2.12,1.69,2018/2019,1819
15/09/2018,,Lens,Sochaux,2,0,1,0,14,2,6,0,1.94,3.22,4.12,2.16,1.67,2018/2019,1819
17/09/2018,,Beziers,Metz,1,3,0,0,9,10,5,6,4.15,3.04,1.97,2.25,1.6,2018/2019,1819
21/09/2018,,Ajaccio GFCO,Nancy,0,1,0,0,5,13,1,5,2.2,3.02,3.48,2.38,1.54,2018/2019,1819
21/09/2018,,Auxerre,Ajaccio,0,0,0,0,13,3,1,1,1.9,3.23,4.21,2.15,1.67,2018/2019,1819
21/09/2018,,Chateauroux,Beziers,2,0,1,0,14,4,4,2,2.22,2.99,3.44,2.32,1.57,2018/2019,1819
21/09/2018,,Grenoble,Brest,1,2,1,1,8,7,2,4,2.33,2.98,3.23,2.27,1.59,2018/2019,1819
21/09/2018,,Le Havre,Troyes,1,1,1,0,13,8,4,2,1.79,3.26,4.77,2.2,1.63,2018/2019,1819
21/09/2018,,Lorient,Clermont,0,0,0,0,13,11,3,1,1.75,3.37,4.83,2.21,1.63,2018/2019,1819
21/09/2018,,Sochaux,Orleans,0,1,0,1,12,6,4,2,1.97,3.21,4.01,1.97,1.8,2018/2019,1819
21/09/2018,,Valenciennes,Red Star,4,1,3,1,12,5,6,2,2.45,2.97,3.04,2.25,1.6,2018/2019,1819
22/09/2018,,Paris FC,Metz,2,1,2,0,7,16,3,4,3.54,2.87,2.26,2.65,1.44,2018/2019,1819
24/09/2018,,Niort,Lens,1,2,1,1,6,15,2,8,3.0,3.05,2.39,2.05,1.72,2018/2019,1819
28/09/2018,,Ajaccio,Valenciennes,3,1,1,1,11,12,6,4,1.91,3.23,4.24,2.21,1.63,2018/2019,1819
28/09/2018,,Beziers,Niort,1,1,0,1,7,12,2,5,2.34,2.96,3.26,2.37,1.55,2018/2019,1819
28/09/2018,,Brest,Chateauroux,5,1,2,1,12,9,7,2,1.7,3.52,4.99,2.01,1.77,2018/2019,1819
28/09/2018,,Clermont,Ajaccio GFCO,1,1,0,1,17,3,5,1,1.7,3.47,5.1,2.0,1.78,2018/2019,1819
28/09/2018,,Lens,Paris FC,0,0,0,0,16,6,1,1,1.8,3.27,4.81,2.33,1.57,2018/2019,1819
28/09/2018,,Nancy,Sochaux,0,0,0,0,4,9,2,1,2.29,2.88,3.51,2.71,1.43,2018/2019,1819
28/09/2018,,Orleans,Lorient,2,0,0,0,5,3,3,2,3.47,3.15,2.15,2.09,1.71,2018/2019,1819
28/09/2018,,Red Star,Grenoble,2,3,1,0,10,14,5,7,2.93,2.89,2.61,2.65,1.45,2018/2019,1819
29/09/2018,,Metz,Le Havre,0,1,0,0,10,6,2,1,1.92,3.22,4.17,2.22,1.63,2018/2019,1819
01/10/2018,,Troyes,Auxerre,1,0,1,0,8,12,3,4,2.48,3.0,2.92,2.19,1.63,2018/2019,1819
02/10/2018,,Beziers,Lens,0,0,0,0,5,17,2,3,4.14,3.13,1.97,2.3,1.58,2018/2019,1819
05/10/2018,,Ajaccio GFCO,Orleans,0,2,0,1,11,16,3,3,2.42,3.09,3.01,2.04,1.75,2018/2019,1819
