Date,Time,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,Season,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
22/08/2021,16:00,SK Rapid,Ried,,,3,0,2021/2022,1.31,5.41,8.79,,
22/08/2021,16:00,Sturm Graz,Austria Vienna,,,2,2,2021/2022,2.01,3.74,3.38,,
28/08/2021,16:00,A. Klagenfurt,Tirol,,,2,1,2021/2022,2.58,3.68,2.48,,
28/08/2021,16:00,Altach,Wolfsberger AC,,,1,2,2021/2022,3.31,3.53,2.09,,
28/08/2021,16:00,Hartberg,Salzburg,,,0,1,2021/2022,9.17,6.01,1.27,,
29/08/2021,16:00,Admira,Sturm Graz,,,1,1,2021/2022,4.9,3.76,1.69,,
21/08/2021,16:00,Salzburg,A. Klagenfurt,,,3,1,2021/2022,1.1,9.86,19.45,,
29/08/2021,16:00,Austria Vienna,SK Rapid,,,1,1,2021/2022,3.1,3.56,2.18,,
11/09/2021,16:00,SK Rapid,Admira,,,1,2,2021/2022,1.41,4.72,6.99,,
11/09/2021,16:00,Tirol,Salzburg,,,1,3,2021/2022,11.46,6.35,1.22,,
11/09/2021,16:00,Wolfsberger AC,Hartberg,,,1,3,2021/2022,1.72,3.9,4.49,,
12/09/2021,13:30,Altach,Ried,,,1,1,2021/2022,2.22,3.36,3.18,,
12/09/2021,13:30,LASK,Austria Vienna,,,0,2,2021/2022,1.63,4.03,5.0,,
12/09/2021,16:00,Sturm Graz,A. Klagenfurt,,,2,1,2021/2022,1.35,5.14,7.64,,
18/09/2021,16:00,Admira,Hartberg,,,1,1,2021/2022,2.33,3.36,2.96,,
18/09/2021,16:00,Austria Vienna,Altach,,,0,0,2021/2022,1.61,4.07,5.06,,
18/09/2021,16:00,Ried,Wolfsberger AC,,,3,3,2021/2022,4.03,3.88,1.8,,
29/08/2021,16:00,Ried,LASK,,,1,0,2021/2022,6.23,4.59,1.46,,
15/08/2021,16:00,LASK,Sturm Graz,,,1,3,2021/2022,2.11,3.5,3.29,,
15/08/2021,16:00,Austria Vienna,A. Klagenfurt,,,1,1,2021/2022,1.59,4.13,5.19,,
15/08/2021,16:00,Altach,SK Rapid,,,2,1,2021/2022,4.35,3.95,1.72,,
23/07/2021,19:30,Sturm Graz,Salzburg,,,1,3,2021/2022,4.83,4.07,1.64,,
24/07/2021,16:00,Altach,LASK,,,0,1,2021/2022,5.87,4.22,1.53,,
24/07/2021,16:00,SK Rapid,Hartberg,,,0,2,2021/2022,1.36,5.2,7.5,,
24/07/2021,16:00,Tirol,Admira,,,1,1,2021/2022,2.08,3.47,3.4,,
25/07/2021,16:00,A. Klagenfurt,Wolfsberger AC,,,1,1,2021/2022,2.92,3.46,2.31,,
25/07/2021,16:00,Ried,Austria Vienna,,,2,1,2021/2022,3.09,3.58,2.17,,
31/07/2021,16:00,Admira,A. Klagenfurt,,,4,0,2021/2022,2.32,3.39,2.97,,
31/07/2021,16:00,Hartberg,Altach,,,1,2,2021/2022,2.0,3.44,3.68,,
31/07/2021,16:00,LASK,SK Rapid,,,1,1,2021/2022,2.06,3.65,3.29,,
01/08/2021,16:00,Austria Vienna,Tirol,,,1,1,2021/2022,1.99,3.74,3.41,,
01/08/2021,16:00,Salzburg,Ried,,,7,1,2021/2022,1.1,9.81,20.13,,
01/08/2021,16:00,Wolfsberger AC,Sturm Graz,,,1,4,2021/2022,3.04,3.62,2.18,,
07/08/2021,16:00,A. Klagenfurt,Hartberg,,,4,3,2021/2022,2.59,3.59,2.5,,
07/08/2021,16:00,Ried,Admira,,,2,1,2021/2022,3.07,3.41,2.24,,
07/08/2021,16:00,Sturm Graz,Altach,,,3,1,2021/2022,1.35,5.15,7.74,,
08/08/2021,16:00,SK Rapid,Wolfsberger AC,,,3,0,2021/2022,1.64,4.18,4.72,,
08/08/2021,16:00,Salzburg,Austria Vienna,,,1,0,2021/2022,1.13,8.77,17.14,,
08/08/2021,16:00,Tirol,LASK,,,1,1,2021/2022,3.88,3.67,1.87,,
14/08/2021,16:00,Admira,Salzburg,,,0,1,2021/2022,11.0,6.14,1.23,,
14/08/2021,16:00,Hartberg,Ried,,,1,1,2021/2022,2.03,3.62,3.38,,
14/08/2021,16:00,Wolfsberger AC,Tirol,,,2,2,2021/2022,1.84,3.95,3.75,,
19/09/2021,13:30,A. Klagenfurt,LASK,,,1,1,2021/2022,4.94,4.19,1.61,,
19/09/2021,13:30,Sturm Graz,Tirol,,,5,0,2021/2022,1.45,4.72,6.22,,
04/12/2021,16:00,Salzburg,Hartberg,,,2,1,2021/2022,1.18,7.11,13.27,,
25/09/2021,16:00,Altach,A. Klagenfurt,,,0,4,2021/2022,2.46,3.49,2.7,,
30/10/2021,16:00,Ried,Salzburg,,,2,2,2021/2022,16.4,7.8,1.15,,
31/10/2021,13:30,Sturm Graz,Wolfsberger AC,,,0,3,2021/2022,1.93,3.69,3.65,,
31/10/2021,13:30,Tirol,Austria Vienna,,,1,1,2021/2022,3.03,3.69,2.17,,
31/10/2021,16:00,SK Rapid,LASK,,,3,2,2021/2022,2.2,3.55,3.05,,
06/11/2021,16:00,Admira,Ried,,,1,2,2021/2022,2.07,3.27,3.65,,
06/11/2021,16:00,Austria Vienna,Salzburg,,,0,1,2021/2022,7.55,5.02,1.37,,
06/11/2021,16:00,Hartberg,A. Klagenfurt,,,0,2,2021/2022,2.2,3.65,2.99,,
07/11/2021,13:30,LASK,Tirol,,,3,0,2021/2022,1.63,4.19,4.7,,
20/11/2021,16:00,SK Rapid,Altach,,,1,0,2021/2022,1.36,4.97,7.92,,
20/11/2021,16:00,Ried,Hartberg,,,1,0,2021/2022,2.65,3.34,2.59,,
20/11/2021,16:00,Salzburg,Admira,,,0,0,2021/2022,1.12,8.52,20.12,,
21/11/2021,13:30,A. Klagenfurt,Austria Vienna,,,0,0,2021/2022,3.01,3.42,2.28,,
21/11/2021,13:30,Tirol,Wolfsberger AC,,,5,1,2021/2022,3.08,3.68,2.14,,
21/11/2021,16:00,Sturm Graz,LASK,,,3,3,2021/2022,2.18,3.54,3.09,,
27/11/2021,16:00,A. Klagenfurt,Salzburg,,,2,1,2021/2022,11.23,6.55,1.22,,
27/11/2021,16:00,Admira,Wolfsberger AC,,,0,1,2021/2022,3.07,3.17,2.38,,
27/11/2021,16:00,Altach,Tirol,,,0,3,2021/2022,3.1,3.54,2.19,,
28/11/2021,13:30,Austria Vienna,Sturm Graz,,,2,1,2021/2022,2.87,3.55,2.31,,
28/11/2021,13:30,Hartberg,LASK,,,2,1,2021/2022,4.97,4.12,1.61,,
28/11/2021,16:00,Ried,SK Rapid,,,2,2,2021/2022,3.69,3.5,1.98,,
19/09/2021,16:00,Salzburg,SK Rapid,,,2,0,2021/2022,1.25,6.0,10.52,,
30/10/2021,16:00,Altach,Hartberg,,,0,2,2021/2022,2.75,3.41,2.46,,
30/10/2021,16:00,A. Klagenfurt,Admira,,,3,3,2021/2022,2.29,3.36,3.04,,
